trial_type	onset	duration	level	stim_file
gym-retro_game	0.007400000002235174	169.08660000000964	1-0	sourcedata/sub-01/ses-shinobi_004/sub-01_ses-shinobi_004_20201016-110142_ShinobiIIIReturnOfTheNinjaMaster-Genesis_Level1-0_003.bk2
gym-retro_game	175.12770000001183	109.3179999999993	4-1	
gym-retro_game	290.5124000000069	136.20209999999497	5-0	sourcedata/sub-01/ses-shinobi_004/sub-01_ses-shinobi_004_20201016-110142_ShinobiIIIReturnOfTheNinjaMaster-Genesis_Level5-0_002.bk2
gym-retro_game	432.7479999999923	181.91849999999977	1-0	sourcedata/sub-01/ses-shinobi_004/sub-01_ses-shinobi_004_20201016-110142_ShinobiIIIReturnOfTheNinjaMaster-Genesis_Level1-0_004.bk2
