trial_type	onset	duration	level	stim_file
gym-retro_game	0.007599999982630834	164.44470000002184	1-0	
gym-retro_game	170.50289999999222	146.02410000000964	4-1	sourcedata/sub-02/ses-shinobi_015/sub-02_ses-shinobi_015_20201217-090727_ShinobiIIIReturnOfTheNinjaMaster-Genesis_Level4-1_004.bk2
gym-retro_game	322.56159999998636	161.972700000013	5-0	sourcedata/sub-02/ses-shinobi_015/sub-02_ses-shinobi_015_20201217-090727_ShinobiIIIReturnOfTheNinjaMaster-Genesis_Level5-0_004.bk2
gym-retro_game	490.60209999998915	164.9377000000095	1-0	sourcedata/sub-02/ses-shinobi_015/sub-02_ses-shinobi_015_20201217-090727_ShinobiIIIReturnOfTheNinjaMaster-Genesis_Level1-0_006.bk2
