trial_type	onset	duration	level	stim_file
gym-retro_game	0.007400000002235174	175.07089999999516	1-0	
gym-retro_game	181.12869999999748	165.601800000004	4-1	sourcedata/sub-04/ses-shinobi_006/sub-04_ses-shinobi_006_20210218-091829_ShinobiIIIReturnOfTheNinjaMaster-Genesis_Level4-1_003.bk2
gym-retro_game	352.76450000000114	182.61849999999686	5-0	sourcedata/sub-04/ses-shinobi_006/sub-04_ses-shinobi_006_20210218-091829_ShinobiIIIReturnOfTheNinjaMaster-Genesis_Level5-0_003.bk2
gym-retro_game	541.4503000000004	177.91820000000007	1-0	sourcedata/sub-04/ses-shinobi_006/sub-04_ses-shinobi_006_20210218-091829_ShinobiIIIReturnOfTheNinjaMaster-Genesis_Level1-0_004.bk2
