trial_type	onset	duration	duration_bk2	level	stim_file
gym-retro_game	0.0074999999997089	193.0706999999965	193.13333333333333	1-0	sub-04/ses-002/gamelogs/sub-04_ses-002_task-shinobi_run-02_level-1_rep-02.bk2
gym-retro_game	199.1115999999965	121.73470000000088	121.75	4-1	sub-04/ses-002/gamelogs/sub-04_ses-002_task-shinobi_run-02_level-4_rep-02.bk2
gym-retro_game	326.87980000000243	190.0859999999957	204.85	5-0	Missing file
gym-retro_game	522.9991999999984	187.119200000001	187.11666666666667	1-0	sub-04/ses-002/gamelogs/sub-04_ses-002_task-shinobi_run-02_level-1_rep-03.bk2
