trial_type	onset	duration	duration_bk2	level	stim_file
gym-retro_game	0.007499999992433	188.0853999999963	192.11666666666667	1-0	Missing file
gym-retro_game	194.1263999999937	169.2514999999985	169.26666666666668	4-1	sub-04/ses-004/gamelogs/sub-04_ses-004_task-shinobi_run-02_level-4_rep-02.bk2
gym-retro_game	369.4119999999966	185.6186999999918	185.63333333333333	5-0	sub-04/ses-004/gamelogs/sub-04_ses-004_task-shinobi_run-02_level-5_rep-02.bk2
gym-retro_game	561.0647999999928	205.1187000000064	205.11666666666667	1-0	sub-04/ses-004/gamelogs/sub-04_ses-004_task-shinobi_run-02_level-1_rep-03.bk2
