	trial_type	onset	duration	duration_bk2	level	stim_file
0	gym-retro_game	0.0077000000019324	157.5905000000057	157.63333333333333	1-0	sourcedata/sub-01/behavior/ses-shinobi_011/sub-01_ses-shinobi_011_20201204-095413_ShinobiIIIReturnOfTheNinjaMaster-Genesis_Level1-0_005.bk2
1	gym-retro_game	163.6654000000126	125.10080000000016	101.3	4-1	Missing file
2	gym-retro_game	294.8000000000029	134.18379999999888	134.2	5-0	sourcedata/sub-01/behavior/ses-shinobi_011/sub-01_ses-shinobi_011_20201204-095413_ShinobiIIIReturnOfTheNinjaMaster-Genesis_Level5-0_003.bk2
3	gym-retro_game	435.0177000000113	157.01759999999194	157.03333333333333	1-0	sourcedata/sub-01/behavior/ses-shinobi_011/sub-01_ses-shinobi_011_20201204-095413_ShinobiIIIReturnOfTheNinjaMaster-Genesis_Level1-0_006.bk2
4	gym-retro_game	598.0694000000076	114.13349999999627	114.13333333333334	4-1	sourcedata/sub-01/behavior/ses-shinobi_011/sub-01_ses-shinobi_011_20201204-095413_ShinobiIIIReturnOfTheNinjaMaster-Genesis_Level4-1_004.bk2
