	trial_type	onset	duration	duration_bk2	level	stim_file
0	gym-retro_game	0.0077999999994062	190.08490000000165	190.15	1-0	sourcedata/sub-04/behavior/ses-shinobi_001/sub-04_ses-shinobi_001_20210118-131217_ShinobiIIIReturnOfTheNinjaMaster-Genesis_Level1-0_004.bk2
1	gym-retro_game	196.12690000000293	164.73500000000058	164.75	4-1	sourcedata/sub-04/behavior/ses-shinobi_001/sub-04_ses-shinobi_001_20210118-131217_ShinobiIIIReturnOfTheNinjaMaster-Genesis_Level4-1_004.bk2
2	gym-retro_game	366.8959000000032	210.8022999999957	188.16666666666663	5-0	Missing file
3	gym-retro_game	583.7323000000033	203.11869999999908	203.11666666666667	1-0	sourcedata/sub-04/behavior/ses-shinobi_001/sub-04_ses-shinobi_001_20210118-131217_ShinobiIIIReturnOfTheNinjaMaster-Genesis_Level1-0_005.bk2
