trial_type	onset	duration	duration_bk2	level	stim_file
gym-retro_game	0.0080999999991036	152.43669999999838	152.48333333333332	1-0	sub-01/ses-006/gamelogs/sub-01_ses-006_task-shinobi_run-05_level-1_rep-09.bk2
gym-retro_game	158.49549999999726	115.13320000000384	67.5	4-1	Missing file
gym-retro_game	279.662599999996	136.9166000000041	136.93333333333334	5-0	sub-01/ses-006/gamelogs/sub-01_ses-006_task-shinobi_run-05_level-5_rep-05.bk2
gym-retro_game	422.6298999999999	151.93329999999696	151.95	1-0	sub-01/ses-006/gamelogs/sub-01_ses-006_task-shinobi_run-05_level-1_rep-010.bk2
gym-retro_game	580.6143999999986	112.4337000000014	112.43333333333334	4-1	sub-01/ses-006/gamelogs/sub-01_ses-006_task-shinobi_run-05_level-4_rep-06.bk2
