trial_type	onset	duration	duration_bk2	level	stim_file
gym-retro_game	0.0097999999998137	160.38420000000042	160.46666666666667	1-0	sub-02/ses-012/gamelogs/sub-02_ses-012_task-shinobi_run-01_level-1_rep-01.bk2
gym-retro_game	166.42839999999703	33.816100000003644	33.833333333333336	4-1	sub-02/ses-012/gamelogs/sub-02_ses-012_task-shinobi_run-01_level-4_rep-01.bk2
gym-retro_game	206.27859999999785	156.46809999999823	156.48333333333332	5-0	sub-02/ses-012/gamelogs/sub-02_ses-012_task-shinobi_run-01_level-5_rep-01.bk2
gym-retro_game	368.78020000000106	159.1012999999948	159.11666666666667	1-0	sub-02/ses-012/gamelogs/sub-02_ses-012_task-shinobi_run-01_level-1_rep-02.bk2
gym-retro_game	533.9484000000011	161.0844999999972	161.08333333333334	4-1	sub-02/ses-012/gamelogs/sub-02_ses-012_task-shinobi_run-01_level-4_rep-02.bk2
