trial_type	onset	duration	duration_bk2	level	stim_file
gym-retro_game	0.0076000000117346	159.44109999999637	159.45	1-0	sub-02/ses-012/gamelogs/sub-02_ses-012_task-shinobi_run-05_level-1_rep-06.bk2
gym-retro_game	165.48300000000745	130.5835999999981	130.6	4-1	sub-02/ses-012/gamelogs/sub-02_ses-012_task-shinobi_run-05_level-4_rep-05.bk2
gym-retro_game	302.1009000000049	173.88420000000042	173.9	5-0	sub-02/ses-012/gamelogs/sub-02_ses-012_task-shinobi_run-05_level-5_rep-05.bk2
gym-retro_game	482.0356000000029	160.45080000000598	160.45	1-0	sub-02/ses-012/gamelogs/sub-02_ses-012_task-shinobi_run-05_level-1_rep-07.bk2
